n:54 mse_avg:56.70 mse_y:83.48 mse_u:4.15 mse_v:2.12 psnr_avg:30.60 psnr_y:28.92 psnr_u:41.95 psnr_v:44.86 
n:55 mse_avg:53.60 mse_y:78.94 mse_u:3.92 mse_v:1.91 psnr_avg:30.84 psnr_y:29.16 psnr_u:42.20 psnr_v:45.33 
n:56 mse_avg:50.45 mse_y:74.35 mse_u:3.61 mse_v:1.66 psnr_avg:31.10 psnr_y:29.42 psnr_u:42.55 psnr_v:45.94 
n:57 mse_avg:49.09 mse_y:72.44 mse_u:3.34 mse_v:1.46 psnr_avg:31.22 psnr_y:29.53 psnr_u:42.90 psnr_v:46.48 
n:58 mse_avg:40.22 mse_y:59.37 mse_u:2.70 mse_v:1.16 psnr_avg:32.09 psnr_y:30.39 psnr_u:43.82 psnr_v:47.50 
n:59 mse_avg:31.78 mse_y:46.91 mse_u:2.09 mse_v:0.93 psnr_avg:33.11 psnr_y:31.42 psnr_u:44.93 psnr_v:48.44 
n:60 mse_avg:31.55 mse_y:46.55 mse_u:2.11 mse_v:0.96 psnr_avg:33.14 psnr_y:31.45 psnr_u:44.89 psnr_v:48.29 
n:61 mse_avg:29.47 mse_y:43.48 mse_u:2.03 mse_v:0.87 psnr_avg:33.44 psnr_y:31.75 psnr_u:45.05 psnr_v:48.71 
n:62 mse_avg:25.99 mse_y:38.32 mse_u:1.86 mse_v:0.81 psnr_avg:33.98 psnr_y:32.30 psnr_u:45.43 psnr_v:49.06 
n:63 mse_avg:26.59 mse_y:39.16 mse_u:2.00 mse_v:0.88 psnr_avg:33.88 psnr_y:32.20 psnr_u:45.12 psnr_v:48.69 
n:64 mse_avg:31.52 mse_y:46.46 mse_u:2.30 mse_v:1.00 psnr_avg:33.14 psnr_y:31.46 psnr_u:44.51 psnr_v:48.11 
n:65 mse_avg:37.49 mse_y:55.28 mse_u:2.65 mse_v:1.16 psnr_avg:32.39 psnr_y:30.71 psnr_u:43.90 psnr_v:47.49 
n:66 mse_avg:41.98 mse_y:61.91 mse_u:2.93 mse_v:1.31 psnr_avg:31.90 psnr_y:30.21 psnr_u:43.46 psnr_v:46.96 
n:67 mse_avg:42.01 mse_y:62.01 mse_u:2.77 mse_v:1.22 psnr_avg:31.90 psnr_y:30.21 psnr_u:43.71 psnr_v:47.26 
n:68 mse_avg:38.68 mse_y:57.10 mse_u:2.54 mse_v:1.15 psnr_avg:32.26 psnr_y:30.56 psnr_u:44.09 psnr_v:47.52 
n:69 mse_avg:31.90 mse_y:47.09 mse_u:2.09 mse_v:0.93 psnr_avg:33.09 psnr_y:31.40 psnr_u:44.92 psnr_v:48.45 
n:70 mse_avg:23.49 mse_y:34.66 mse_u:1.57 mse_v:0.74 psnr_avg:34.42 psnr_y:32.73 psnr_u:46.17 psnr_v:49.43 
n:71 mse_avg:23.72 mse_y:35.09 mse_u:1.33 mse_v:0.66 psnr_avg:34.38 psnr_y:32.68 psnr_u:46.90 psnr_v:49.93 
n:72 mse_avg:29.13 mse_y:43.18 mse_u:1.40 mse_v:0.67 psnr_avg:33.49 psnr_y:31.78 psnr_u:46.66 psnr_v:49.88 
n:73 mse_avg:33.05 mse_y:49.03 mse_u:1.49 mse_v:0.73 psnr_avg:32.94 psnr_y:31.23 psnr_u:46.39 psnr_v:49.51 
n:74 mse_avg:34.78 mse_y:51.52 mse_u:1.67 mse_v:0.94 psnr_avg:32.72 psnr_y:31.01 psnr_u:45.91 psnr_v:48.40 
n:75 mse_avg:29.70 mse_y:43.99 mse_u:1.53 mse_v:0.74 psnr_avg:33.40 psnr_y:31.70 psnr_u:46.28 psnr_v:49.46 
n:76 mse_avg:25.94 mse_y:38.36 mse_u:1.45 mse_v:0.72 psnr_avg:33.99 psnr_y:32.29 psnr_u:46.50 psnr_v:49.56 
n:77 mse_avg:22.97 mse_y:33.89 mse_u:1.56 mse_v:0.70 psnr_avg:34.52 psnr_y:32.83 psnr_u:46.20 psnr_v:49.66 
n:78 mse_avg:19.63 mse_y:28.82 mse_u:1.76 mse_v:0.74 psnr_avg:35.20 psnr_y:33.53 psnr_u:45.67 psnr_v:49.42 
n:79 mse_avg:18.09 mse_y:26.48 mse_u:1.91 mse_v:0.72 psnr_avg:35.56 psnr_y:33.90 psnr_u:45.32 psnr_v:49.55 
n:80 mse_avg:19.39 mse_y:28.41 mse_u:1.98 mse_v:0.73 psnr_avg:35.25 psnr_y:33.60 psnr_u:45.17 psnr_v:49.48 
n:81 mse_avg:17.09 mse_y:25.12 mse_u:1.44 mse_v:0.60 psnr_avg:35.80 psnr_y:34.13 psnr_u:46.55 psnr_v:50.35 
n:82 mse_avg:14.15 mse_y:20.85 mse_u:0.98 mse_v:0.48 psnr_avg:36.62 psnr_y:34.94 psnr_u:48.20 psnr_v:51.36 
n:83 mse_avg:11.98 mse_y:17.66 mse_u:0.78 mse_v:0.42 psnr_avg:37.35 psnr_y:35.66 psnr_u:49.23 psnr_v:51.86 
n:84 mse_avg:12.10 mse_y:17.84 mse_u:0.81 mse_v:0.43 psnr_avg:37.30 psnr_y:35.62 psnr_u:49.03 psnr_v:51.78 
n:85 mse_avg:12.08 mse_y:17.78 mse_u:0.91 mse_v:0.46 psnr_avg:37.31 psnr_y:35.63 psnr_u:48.53 psnr_v:51.54 
n:86 mse_avg:11.13 mse_y:16.34 mse_u:0.97 mse_v:0.44 psnr_avg:37.67 psnr_y:36.00 psnr_u:48.26 psnr_v:51.72 
n:87 mse_avg:9.94 mse_y:14.57 mse_u:0.93 mse_v:0.42 psnr_avg:38.16 psnr_y:36.50 psnr_u:48.46 psnr_v:51.93 
n:88 mse_avg:8.17 mse_y:11.97 mse_u:0.75 mse_v:0.36 psnr_avg:39.01 psnr_y:37.35 psnr_u:49.38 psnr_v:52.59 
n:89 mse_avg:7.03 mse_y:10.33 mse_u:0.59 mse_v:0.31 psnr_avg:39.66 psnr_y:37.99 psnr_u:50.45 psnr_v:53.26 
n:90 mse_avg:6.77 mse_y:9.95 mse_u:0.50 mse_v:0.31 psnr_avg:39.82 psnr_y:38.15 psnr_u:51.10 psnr_v:53.28 
n:91 mse_avg:6.65 mse_y:9.80 mse_u:0.45 mse_v:0.28 psnr_avg:39.90 psnr_y:38.22 psnr_u:51.63 psnr_v:53.74 
n:92 mse_avg:6.12 mse_y:8.99 mse_u:0.44 mse_v:0.27 psnr_avg:40.27 psnr_y:38.59 psnr_u:51.65 psnr_v:53.78 
n:93 mse_avg:5.33 mse_y:7.81 mse_u:0.44 mse_v:0.27 psnr_avg:40.87 psnr_y:39.20 psnr_u:51.73 psnr_v:53.83 
n:94 mse_avg:3.93 mse_y:5.75 mse_u:0.37 mse_v:0.22 psnr_avg:42.19 psnr_y:40.54 psnr_u:52.50 psnr_v:54.78 
n:95 mse_avg:2.84 mse_y:4.13 mse_u:0.31 mse_v:0.20 psnr_avg:43.60 psnr_y:41.97 psnr_u:53.23 psnr_v:55.14 
n:96 mse_avg:2.50 mse_y:3.63 mse_u:0.29 mse_v:0.19 psnr_avg:44.15 psnr_y:42.53 psnr_u:53.57 psnr_v:55.27 
n:97 mse_avg:1.97 mse_y:2.85 mse_u:0.24 mse_v:0.17 psnr_avg:45.20 psnr_y:43.59 psnr_u:54.36 psnr_v:55.75 
n:98 mse_avg:1.78 mse_y:2.58 mse_u:0.22 mse_v:0.17 psnr_avg:45.62 psnr_y:44.02 psnr_u:54.76 psnr_v:55.86 
n:99 mse_avg:1.64 mse_y:2.36 mse_u:0.22 mse_v:0.17 psnr_avg:45.99 psnr_y:44.41 psnr_u:54.73 psnr_v:55.90 
